"Date","Price","Open","High","Low","Vol.","Change %"
"03/01/2015","604.50","568.00","630.00","541.50","20.75M","4.40%"
"02/01/2015","579.00","543.50","595.00","518.00","28.23M","6.34%"
"01/01/2015","544.50","495.00","587.50","463.40","37.46M","11.92%"
"12/01/2014","486.50","460.90","487.00","442.30","20.85M","6.43%"
"11/01/2014","457.10","411.40","468.00","398.00","18.59M","11.87%"
"10/01/2014","408.60","365.00","411.50","317.10","34.68M","11.12%"
"09/01/2014","367.70","361.50","384.80","357.30","16.12M","2.17%"
"08/01/2014","359.90","346.40","365.20","306.50","19.73M","8.60%"
"07/01/2014","331.40","372.10","379.40","322.70","25.08M","-10.87%"
"06/01/2014","371.80","396.00","425.00","367.80","18.44M","-5.49%"
"05/01/2014","393.40","407.50","414.50","350.50","16.19M","-2.62%"
"04/01/2014","404.00","418.20","447.00","370.10","18.93M","-3.12%"
"03/01/2014","417.00","433.00","452.90","408.80","13.06M","-4.73%"
"02/01/2014","437.70","419.40","457.10","403.00","13.40M","5.27%"
"01/01/2014","415.80","401.10","442.80","396.70","17.18M","3.64%"
